FALL,,,,,,,
Fall 2026 Course Schedule - Undergraduate,,,,,,,
"August 19, 2026 to December 4, 2026",,,,,,,
Changes are in red,,,,,,,
Course Code,Course Name,Professor,Start Time,End Time,Days,Room,Meeting Type
COMM 1313 1,Public Speaking,James Keller,2:30 PM,4:00 PM,"Tues, Thur",829,IP - In Person
COMM 2312 1,Business Communication,James Keller,1:00 PM,2:30 PM,"Tues, Thur",829,IP - In Person
COMP 1314 1,Computer Literacy and Application,Glory Kurian,11:30 AM,1:00 PM,Thu,815,H - Hybrid
COMP 1314 2,Computer Literacy and Application,Likhitha Kanagala,2:30 PM,4:00 PM,Wed,839,H - Hybrid
COMP 1411 1,Introduction to Programming I,Likhitha Kanagala,11:30 AM,2:30 PM,Wed,815,H - Hybrid
COMP 1412 1,Introduction to Programming II,Sabina Adhikari,1:00 PM,4:00 PM,Thu,815,H - Hybrid
COMP 2313 1,Data Structures,Glory Kurian,10:00 AM,11:30 AM,Wed,815,H - Hybrid
COMP 2313 2,Data Structures,Glory Kurian,,,,,OF - Online Flexible
COMP 2316 1,Computer Organization,Nadeem Daudpota,8:30 AM,10:00 AM,Thu,839,H - Hybrid
COMP 2415 1,Systems Programming,Glory Kurian,11:30 AM,2:30 PM,Wed,839,H - Hybrid
COMP 2319,Introduction to Artificial Intellegence,Sabina Adhikari,10:00 AM,11:30 AM,Thu,815,H - Hybrid
COMP 3317 1,Algorithms,Sabina Adhikari,2:30 PM,4:00 PM,Wed,815,H - Hybrid
COMP 3318 1,Operating Systems,Nadeem Daudpota,10:00 AM,11:30 AM,Thu,839,H - Hybrid
COMP 3320 1,Programming Languages,Sabina Adhikari,8:30 AM,10:00 AM,Thu,815,H - Hybrid
COMP 3321 1,Database Systems,Likhitha Kanagala,11:30 AM,1:00 PM,Thu,839,H - Hybrid
COMP 3322 1,Software Engineering,Glory Kurian,,,,,OF - Online Flexible
COMP 3324 1,Computer Networks,Azamat Zhamanov,,,,,OF - Online Flexible
COMP 4326 1,Front-End Web Development,Likhitha Kanagala,1:00 PM,2:30 PM,Thu,839,H - Hybrid
COMP 4327 1,Back-End Web Development,Likhitha Kanagala,,,,,OF - Online Flexible
